,eligible,activated,withdrawable,exited
0,0,21063,0,0
1,0,21063,0,0
2,0,21063,0,0
3,0,21063,0,0
4,0,21063,0,0
5,0,21063,0,0
6,0,21063,0,0
7,0,21063,0,0
8,0,21063,0,0
9,0,21063,0,0
10,0,21063,0,0
11,0,21063,0,0
12,0,21063,0,0
13,0,21063,0,0
14,0,21063,0,0
15,0,21063,0,0
16,0,21063,0,0
17,0,21063,0,0
18,0,21063,0,0
19,0,21063,0,0
20,0,21063,0,0
21,0,21063,0,0
22,0,21063,0,0
23,0,21063,0,0
24,0,21063,0,0
25,0,21063,0,0
26,0,21063,0,0
27,0,21063,0,0
28,0,21063,0,0
29,0,21063,0,0
30,0,21063,0,0
31,0,21063,0,0
32,0,21063,0,0
33,0,21063,0,0
34,0,21063,0,0
35,0,21063,0,0
36,0,21063,0,0
37,0,21063,0,0
38,0,21063,0,0
39,272,21063,0,0
40,720,21063,0,0
41,1181,21063,0,0
42,1677,21063,0,0
43,2157,21063,0,0
44,2637,21063,0,0
45,3033,21067,0,0
46,3493,21071,0,0
47,3936,21075,0,0
48,4412,21079,0,0
49,4888,21083,0,0
50,5331,21087,0,0
51,5791,21091,0,0
52,6141,21095,0,0
53,6137,21099,0,0
54,6133,21103,0,0
55,6129,21107,0,0
56,6125,21111,0,0
57,6121,21115,0,0
58,6117,21119,0,0
59,6113,21123,0,0
60,6109,21127,0,0
61,6105,21131,0,0
62,6101,21135,0,0
63,6097,21139,0,0
64,6093,21143,0,0
65,6089,21147,0,0
66,6085,21151,0,0
67,6081,21155,0,0
68,6077,21159,0,0
69,6073,21163,0,0
70,6069,21167,0,0
71,6065,21171,0,0
72,6061,21175,0,0
73,6057,21179,0,0
74,6053,21183,0,0
75,6049,21187,0,0
76,6045,21191,0,0
77,6041,21195,0,0
78,6037,21199,0,0
79,6033,21203,0,0
80,6029,21207,0,0
81,6025,21211,0,0
82,6021,21215,0,0
83,6017,21219,0,0
84,6013,21223,0,0
85,6009,21227,0,0
86,6005,21231,0,0
87,6001,21235,0,0
88,5997,21239,0,0
89,5993,21243,0,0
90,5989,21247,0,0
91,5985,21251,0,0
92,5981,21255,0,0
93,5977,21259,0,0
94,5973,21263,0,0
95,5969,21267,0,0
96,5965,21271,0,0
97,5961,21275,0,0
98,6005,21279,0,0
99,6224,21283,0,0
100,6220,21287,0,0
101,6216,21291,0,0
102,6212,21295,0,0
103,6208,21299,0,0
104,6204,21303,0,0
105,6200,21307,0,0
106,6196,21311,0,0
107,6192,21315,0,0
108,6188,21319,0,0
109,6184,21323,0,0
110,6180,21327,0,0
111,6176,21331,0,0
112,6172,21335,0,0
113,6168,21339,0,0
114,6164,21343,0,0
115,6160,21347,0,0
116,6156,21351,0,0
117,6152,21355,0,0
118,6148,21359,0,0
119,6144,21363,0,0
120,6140,21367,0,0
121,6136,21371,0,0
122,6132,21375,0,0
123,6128,21379,0,0
124,6124,21383,0,0
125,6120,21387,0,0
126,6116,21391,0,0
127,6112,21395,0,0
128,6108,21399,0,0
129,6104,21403,0,0
130,6100,21407,0,0
131,6096,21411,0,0
132,6092,21415,0,0
133,6088,21419,0,0
134,6084,21423,0,0
135,6080,21427,0,0
136,6076,21431,0,0
137,6072,21435,0,0
138,6068,21439,0,0
139,6064,21443,0,0
140,6060,21447,0,0
141,6056,21451,0,0
142,6052,21455,0,0
143,6048,21459,0,0
144,6044,21463,0,0
145,6040,21467,0,0
146,6036,21471,0,0
147,6032,21475,0,0
148,6028,21479,0,0
149,6024,21483,0,0
150,6020,21487,0,0
151,6016,21491,0,0
152,6012,21495,0,0
153,6008,21499,0,0
154,6004,21503,0,0
155,6000,21507,0,0
156,5996,21511,0,0
157,5992,21515,0,0
158,5988,21519,0,0
159,5984,21523,0,0
160,5980,21527,0,0
161,5976,21531,0,0
162,5972,21535,0,0
163,5968,21539,0,0
164,5964,21543,0,0
165,5960,21547,0,0
166,5956,21551,0,0
167,5952,21555,0,0
168,5948,21559,0,0
169,5944,21563,0,0
170,5940,21567,0,0
171,5936,21571,0,0
172,5932,21575,0,0
173,5928,21579,0,0
174,5924,21583,0,0
175,5920,21587,0,0
176,5916,21591,0,0
177,5912,21595,0,0
178,5908,21599,0,0
179,5904,21603,0,0
180,5900,21607,0,0
181,5896,21611,0,0
182,5892,21615,0,0
183,5888,21619,0,0
184,5884,21623,0,0
185,5880,21627,0,0
186,5876,21631,0,0
187,5872,21635,0,0
188,5868,21639,0,0
189,5864,21643,0,0
190,5860,21647,0,0
191,5856,21651,0,0
192,5852,21655,0,0
193,5848,21659,0,0
194,5844,21663,0,0
195,5840,21667,0,0
196,5836,21671,0,0
197,5832,21675,0,0
198,5828,21679,0,0
199,5824,21683,0,0
200,5820,21687,0,0
201,5816,21691,0,0
202,5812,21695,0,0
203,5808,21699,0,0
204,5804,21703,0,0
205,5800,21707,0,0
206,5796,21711,0,0
207,5792,21715,0,0
208,5788,21719,0,0
209,5784,21723,0,0
210,5780,21727,0,0
211,5776,21731,0,0
212,5772,21735,0,0
213,5768,21738,0,1
214,5764,21742,0,1
215,5760,21746,0,1
216,5756,21750,0,1
217,5752,21754,0,1
218,5748,21758,0,1
219,5744,21762,0,1
220,5740,21766,0,1
221,5736,21770,0,1
222,5732,21774,0,1
223,5728,21778,0,1
224,5724,21782,0,1
225,5720,21786,0,1
226,5908,21790,0,1
227,6399,21794,0,1
228,6502,21798,0,1
229,6498,21802,0,1
230,6494,21806,0,1
231,6490,21810,0,1
232,6486,21814,0,1
233,6482,21818,0,1
234,6478,21822,0,1
235,6474,21826,0,1
236,6470,21830,0,1
237,6466,21834,0,1
238,6462,21838,0,1
239,6458,21842,0,1
240,6454,21846,0,1
241,6450,21850,0,1
242,6446,21854,0,1
243,6442,21858,0,1
244,6438,21862,0,1
245,6434,21866,0,1
246,6430,21870,0,1
247,6426,21874,0,1
248,6422,21878,0,1
249,6418,21882,0,1
250,6414,21886,0,1
251,6410,21890,0,1
252,6406,21894,0,1
253,6402,21898,0,1
254,6398,21902,0,1
255,6394,21906,0,1
256,6390,21910,0,1
257,6386,21914,0,1
258,6382,21918,0,1
259,6378,21922,0,1
260,6374,21926,0,1
261,6370,21930,0,1
262,6366,21934,0,1
263,6362,21938,0,1
264,6358,21942,0,1
265,6354,21946,0,1
266,6350,21950,0,1
267,6346,21954,0,1
268,6342,21958,0,1
269,6338,21962,0,1
270,6334,21966,0,1
271,6330,21970,0,1
272,6326,21974,0,1
273,6322,21978,0,1
274,6318,21982,0,1
275,6314,21986,0,1
276,6310,21990,0,1
277,6306,21994,0,1
278,6302,21998,0,1
279,6298,22002,0,1
280,6294,22006,0,1
281,6290,22010,0,1
282,6286,22014,0,1
283,6282,22018,0,1
284,6278,22022,0,1
285,6274,22026,0,1
286,6270,22030,0,1
287,6266,22034,0,1
288,6262,22038,0,1
289,6258,22042,0,1
290,6670,22046,0,1
291,7098,22050,0,1
292,7094,22054,0,1
293,7090,22058,0,1
294,7086,22062,0,1
295,7082,22066,0,1
296,7078,22070,0,1
297,7074,22074,0,1
